baseline,split,cdr_type,aar,caar,ppl,rmsd,tm_score,fnat,irmsd,dockq,epitope_f1,n_liabilities,chimera_s,chimera_b
abmedg,epitope_group,H1,0.54±0.21,0.23±0.32,0.00±0.00,0.82±0.51,0.44±0.18,0.02±0.03,0.21±0.26,0.64±0.12,0.09±0.11,0.06±0.24,0.56±0.08,0.05±0.06
abmedg,epitope_group,H2,0.32±0.18,0.16±0.25,0.00±0.00,0.73±0.41,0.47±0.16,0.02±0.03,0.36±0.37,0.65±0.04,0.09±0.11,0.25±0.48,0.58±0.05,0.05±0.06
abmedg,epitope_group,H3,0.21±0.12,0.12±0.16,0.00±0.00,2.44±1.29,0.13±0.10,0.05±0.05,1.57±0.82,0.50±0.12,0.20±0.18,0.49±0.67,0.40±0.08,0.11±0.10
abmedg,epitope_group,L1,0.45±0.18,0.28±0.37,0.00±0.00,1.29±0.73,0.31±0.16,0.03±0.03,0.50±0.53,0.63±0.06,0.10±0.12,0.23±0.47,0.52±0.07,0.06±0.07
abmedg,epitope_group,L2,0.43±0.17,0.07±0.21,0.00±0.00,0.64±0.31,0.50±0.13,0.02±0.03,0.09±0.19,0.67±0.02,0.09±0.11,0.13±0.36,0.59±0.04,0.05±0.06
abmedg,epitope_group,L3,0.35±0.18,0.15±0.27,0.00±0.00,1.00±0.53,0.36±0.13,0.02±0.03,0.49±0.50,0.56±0.21,0.10±0.13,0.24±0.43,0.51±0.09,0.06±0.07
abmedg,antigen_fold,H1,0.54±0.19,0.24±0.33,0.00±0.00,0.80±0.57,0.46±0.19,0.02±0.03,0.20±0.27,0.64±0.13,0.10±0.13,0.06±0.23,0.57±0.08,0.06±0.08
abmedg,antigen_fold,H2,0.27±0.17,0.12±0.23,0.00±0.00,0.86±0.64,0.47±0.20,0.02±0.03,0.35±0.37,0.65±0.07,0.11±0.13,0.37±0.52,0.57±0.08,0.06±0.08
abmedg,antigen_fold,H3,0.22±0.13,0.14±0.18,0.00±0.00,2.55±3.44,0.16±0.15,0.05±0.06,1.62±2.37,0.51±0.13,0.22±0.21,0.58±0.79,0.41±0.09,0.12±0.12
abmedg,antigen_fold,L1,0.45±0.16,0.28±0.36,0.00±0.00,1.16±0.61,0.34±0.16,0.03±0.04,0.50±0.54,0.63±0.07,0.11±0.14,0.36±0.62,0.53±0.07,0.06±0.08
abmedg,antigen_fold,L2,0.41±0.17,0.12±0.28,0.00±0.00,0.52±0.26,0.58±0.13,0.02±0.03,0.11±0.23,0.67±0.05,0.10±0.13,0.11±0.35,0.62±0.04,0.06±0.08
abmedg,antigen_fold,L3,0.36±0.15,0.13±0.23,0.00±0.00,1.28±0.50,0.26±0.10,0.03±0.04,0.59±0.47,0.55±0.21,0.11±0.15,0.33±0.51,0.47±0.08,0.06±0.08
abmedg,temporal,H1,0.55±0.18,0.21±0.31,0.00±0.00,0.87±0.57,0.42±0.18,0.03±0.03,0.24±0.31,0.64±0.11,0.09±0.11,0.08±0.28,0.56±0.08,0.05±0.06
abmedg,temporal,H2,0.30±0.17,0.15±0.24,0.00±0.00,0.86±0.58,0.45±0.19,0.02±0.03,0.31±0.36,0.65±0.04,0.09±0.11,0.35±0.53,0.57±0.07,0.05±0.06
abmedg,temporal,H3,0.23±0.11,0.14±0.18,0.00±0.00,2.59±1.12,0.12±0.10,0.04±0.05,1.75±0.79,0.49±0.11,0.17±0.16,0.48±0.68,0.39±0.07,0.09±0.09
abmedg,temporal,L1,0.47±0.17,0.32±0.38,0.00±0.00,1.27±0.67,0.30±0.15,0.03±0.03,0.50±0.53,0.63±0.06,0.09±0.11,0.45±0.67,0.51±0.06,0.05±0.06
abmedg,temporal,L2,0.46±0.17,0.11±0.27,0.00±0.00,0.58±0.30,0.54±0.14,0.02±0.03,0.12±0.24,0.67±0.03,0.09±0.10,0.26±0.55,0.60±0.05,0.05±0.06
abmedg,temporal,L3,0.38±0.16,0.16±0.25,0.00±0.00,1.03±0.45,0.34±0.13,0.02±0.03,0.49±0.49,0.55±0.22,0.08±0.11,0.31±0.55,0.50±0.09,0.05±0.06
