baseline,split,cdr_type,aar,caar,ppl,rmsd,tm_score,fnat,irmsd,dockq,epitope_f1,n_liabilities,chimera_s,chimera_b
dyab,epitope_group,H1,0.34±0.14,0.19±0.28,1.00±0.00,1.04±0.42,0.29±0.10,0.02±0.03,0.89±0.71,0.58±0.07,0.09±0.11,0.05±0.22,0.50±0.04,0.05±0.06
dyab,epitope_group,H2,0.23±0.12,0.29±0.30,1.00±0.00,1.17±0.25,0.25±0.06,0.02±0.03,0.95±0.70,0.58±0.07,0.09±0.11,0.00±0.00,0.48±0.03,0.05±0.06
dyab,epitope_group,H3,0.19±0.08,0.09±0.14,1.00±0.00,2.34±0.87,0.11±0.07,0.03±0.04,1.62±0.66,0.50±0.06,0.11±0.15,0.00±0.00,0.40±0.05,0.07±0.08
dyab,epitope_group,L1,0.34±0.16,0.12±0.24,1.00±0.00,1.51±0.57,0.18±0.09,0.03±0.03,0.71±0.59,0.60±0.07,0.10±0.12,0.20±0.40,0.47±0.04,0.06±0.07
dyab,epitope_group,L2,0.31±0.16,0.18±0.38,1.00±0.00,0.52±0.17,0.54±0.09,0.02±0.03,0.23±0.46,0.65±0.05,0.09±0.12,0.00±0.00,0.60±0.03,0.05±0.07
dyab,epitope_group,L3,0.33±0.13,0.21±0.26,1.00±0.00,1.09±0.46,0.29±0.12,0.03±0.04,0.95±0.68,0.58±0.07,0.11±0.14,0.00±0.00,0.50±0.05,0.06±0.08
dyab,antigen_fold,H1,0.23±0.13,0.17±0.25,1.00±0.00,1.24±0.44,0.25±0.09,0.03±0.03,0.84±0.63,0.59±0.07,0.11±0.14,0.00±0.00,0.49±0.04,0.06±0.08
dyab,antigen_fold,H2,0.13±0.11,0.08±0.19,1.00±0.00,1.33±0.29,0.22±0.05,0.02±0.03,0.92±0.59,0.57±0.08,0.10±0.13,0.10±0.31,0.47±0.03,0.06±0.07
dyab,antigen_fold,H3,0.25±0.10,0.15±0.19,1.00±0.00,2.31±1.11,0.13±0.10,0.03±0.04,1.55±0.67,0.51±0.07,0.12±0.16,1.88±0.40,0.40±0.06,0.07±0.09
dyab,antigen_fold,L1,0.23±0.13,0.15±0.27,1.00±0.00,1.63±0.53,0.15±0.08,0.03±0.03,0.78±0.61,0.59±0.07,0.11±0.14,0.00±0.00,0.46±0.04,0.06±0.08
dyab,antigen_fold,L2,0.33±0.16,0.23±0.41,1.00±0.00,0.62±0.14,0.43±0.05,0.02±0.03,0.23±0.43,0.65±0.06,0.10±0.13,0.00±0.00,0.57±0.02,0.06±0.08
dyab,antigen_fold,L3,0.28±0.12,0.14±0.23,1.00±0.00,1.19±0.44,0.28±0.11,0.03±0.05,0.93±0.64,0.58±0.07,0.13±0.17,1.88±0.38,0.49±0.05,0.08±0.09
dyab,temporal,H1,0.44±0.19,0.29±0.37,1.00±0.00,1.13±0.48,0.28±0.09,0.02±0.03,0.76±0.62,0.60±0.06,0.10±0.12,0.08±0.26,0.50±0.04,0.06±0.07
dyab,temporal,H2,0.21±0.13,0.17±0.22,1.00±0.00,1.32±0.28,0.21±0.04,0.02±0.03,0.91±0.73,0.58±0.07,0.08±0.10,1.78±0.46,0.47±0.03,0.05±0.06
dyab,temporal,H3,0.23±0.09,0.12±0.18,1.00±0.00,2.46±0.99,0.11±0.07,0.02±0.03,1.68±0.71,0.50±0.06,0.08±0.11,0.94±0.23,0.39±0.05,0.04±0.06
dyab,temporal,L1,0.25±0.12,0.10±0.22,1.00±0.00,1.51±0.65,0.20±0.10,0.03±0.03,0.75±0.54,0.60±0.06,0.09±0.11,0.18±0.39,0.47±0.05,0.05±0.06
dyab,temporal,L2,0.30±0.15,0.19±0.39,1.00±0.00,0.54±0.13,0.52±0.06,0.02±0.03,0.26±0.52,0.65±0.05,0.09±0.10,0.00±0.06,0.59±0.03,0.05±0.06
dyab,temporal,L3,0.30±0.10,0.15±0.22,1.00±0.00,1.12±0.45,0.29±0.12,0.02±0.03,0.86±0.72,0.58±0.08,0.09±0.12,0.28±0.45,0.50±0.05,0.05±0.07
