baseline,split,cdr_type,aar,caar,ppl,rmsd,tm_score,fnat,irmsd,dockq,epitope_f1,n_liabilities,chimera_s,chimera_b
radab,epitope_group,H1,0.54±0.22,0.25±0.35,0.00±0.00,0.94±0.51,0.37±0.14,0.02±0.03,0.23±0.26,0.64±0.12,0.08±0.10,0.04±0.19,0.54±0.07,0.05±0.06
radab,epitope_group,H2,0.28±0.18,0.13±0.22,0.00±0.00,0.86±0.51,0.42±0.17,0.02±0.03,0.34±0.33,0.65±0.04,0.09±0.11,0.33±0.51,0.56±0.06,0.05±0.06
radab,epitope_group,H3,0.20±0.12,0.11±0.17,0.00±0.00,5.33±17.22,0.11±0.10,0.04±0.05,2.98±10.37,0.48±0.14,0.17±0.15,0.56±0.74,0.37±0.10,0.09±0.09
radab,epitope_group,L1,0.45±0.19,0.27±0.36,0.00±0.00,1.42±0.76,0.28±0.15,0.03±0.03,0.51±0.54,0.63±0.06,0.10±0.12,0.28±0.50,0.51±0.07,0.06±0.07
radab,epitope_group,L2,0.43±0.16,0.08±0.23,0.00±0.00,4.20±44.24,0.46±0.12,0.02±0.03,0.09±0.19,0.67±0.03,0.09±0.11,0.10±0.32,0.58±0.05,0.05±0.06
radab,epitope_group,L3,0.36±0.18,0.13±0.24,0.00±0.00,1.16±0.50,0.29±0.11,0.03±0.03,0.53±0.46,0.56±0.21,0.11±0.13,0.29±0.50,0.49±0.08,0.06±0.07
radab,antigen_fold,H1,0.59±0.19,0.23±0.33,0.00±0.00,0.87±0.51,0.41±0.17,0.03±0.04,0.22±0.27,0.64±0.13,0.11±0.14,0.15±0.39,0.55±0.07,0.06±0.08
radab,antigen_fold,H2,0.29±0.17,0.13±0.24,0.00±0.00,3.75±49.19,0.41±0.16,0.02±0.03,1.52±20.04,0.64±0.08,0.10±0.13,0.47±0.57,0.56±0.07,0.06±0.08
radab,antigen_fold,H3,0.17±0.12,0.10±0.17,0.00±0.00,2.31±1.11,0.15±0.14,0.04±0.04,1.50±0.78,0.51±0.13,0.19±0.18,0.59±0.80,0.41±0.08,0.11±0.10
radab,antigen_fold,L1,0.47±0.19,0.21±0.31,0.00±0.00,1.32±0.64,0.29±0.14,0.03±0.04,0.50±0.51,0.63±0.07,0.11±0.14,0.29±0.52,0.51±0.07,0.07±0.08
radab,antigen_fold,L2,0.45±0.17,0.09±0.24,0.00±0.00,0.57±0.23,0.54±0.14,0.02±0.03,0.11±0.22,0.67±0.05,0.10±0.13,0.11±0.35,0.60±0.04,0.06±0.08
radab,antigen_fold,L3,0.37±0.17,0.14±0.25,0.00±0.00,1.24±0.46,0.26±0.10,0.03±0.04,0.57±0.43,0.55±0.21,0.13±0.16,0.28±0.53,0.48±0.08,0.07±0.09
radab,temporal,H1,0.57±0.23,0.21±0.32,0.00±0.00,5.04±71.13,0.42±0.17,0.03±0.03,0.60±6.15,0.64±0.12,0.09±0.11,0.12±0.35,0.56±0.08,0.05±0.06
radab,temporal,H2,0.29±0.17,0.12±0.21,0.00±0.00,0.81±0.50,0.44±0.18,0.02±0.03,0.33±0.35,0.65±0.04,0.09±0.11,0.56±0.64,0.57±0.06,0.05±0.06
radab,temporal,H3,0.20±0.11,0.10±0.15,0.00±0.00,4.39±28.15,0.10±0.07,0.04±0.05,2.69±16.09,0.49±0.11,0.19±0.17,1.38±1.30,0.38±0.07,0.11±0.10
radab,temporal,L1,0.48±0.18,0.23±0.35,0.00±0.00,1.14±0.63,0.35±0.16,0.03±0.03,0.42±0.45,0.64±0.05,0.10±0.11,0.38±0.63,0.53±0.06,0.06±0.06
radab,temporal,L2,0.45±0.16,0.09±0.25,0.00±0.00,0.66±0.31,0.48±0.14,0.02±0.03,0.12±0.25,0.67±0.03,0.08±0.10,0.23±0.47,0.59±0.04,0.05±0.06
radab,temporal,L3,0.39±0.17,0.14±0.25,0.00±0.00,1.98±16.13,0.34±0.13,0.02±0.03,0.43±0.40,0.55±0.22,0.07±0.10,0.37±0.55,0.50±0.09,0.04±0.06
