method,split,cdr_type,aar,caar,ppl,rmsd,tm_score,fnat,irmsd,dockq,epitope_f1,n_liabilities,chimera_s,chimera_b
abflownet,epitope_group,H1,0.56±0.21,0.28±0.32,0.00±0.00,0.79±0.58,0.48±0.20,0.51±0.44,0.62±0.46,0.57±0.43,0.84±0.27,0.04±0.21,0.55±0.17,0.57±0.20
abmedg,epitope_group,H1,0.56±0.20,0.27±0.32,0.00±0.00,0.85±0.57,0.44±0.21,0.53±0.44,0.65±0.46,0.58±0.43,0.82±0.29,0.05±0.21,0.54±0.16,0.57±0.21
abode,epitope_group,H1,0.53±0.18,0.25±0.27,5.21±3.16,4.76±0.86,0.02±0.01,0.32±0.34,2.25±0.66,0.36±0.32,0.45±0.36,0.00±0.00,0.26±0.11,0.32±0.22
diffab,epitope_group,H1,0.57±0.20,0.28±0.32,0.00±0.00,0.87±0.58,0.43±0.20,0.51±0.44,0.66±0.47,0.57±0.43,0.83±0.27,0.04±0.21,0.53±0.16,0.57±0.20
dyab,epitope_group,H1,0.48±0.16,0.27±0.31,1.01±0.00,1.87±0.26,0.12±0.04,0.38±0.37,1.07±0.55,0.51±0.36,0.75±0.32,0.13±0.35,0.41±0.13,0.49±0.21
dymean,epitope_group,H1,0.67±0.19,0.38±0.37,1.57±0.17,1.07±0.52,0.32±0.14,0.50±0.43,0.84±0.79,0.57±0.41,0.80±0.31,0.02±0.15,0.50±0.15,0.55±0.23
mean,epitope_group,H1,0.70±0.19,0.40±0.37,1.53±0.36,0.85±0.53,0.43±0.17,0.48±0.40,0.64±0.44,0.58±0.41,0.86±0.24,0.04±0.19,0.54±0.15,0.58±0.18
raad,epitope_group,H1,0.72±0.19,0.41±0.38,1.39±0.20,0.59±0.49,0.60±0.23,0.59±0.45,0.40±0.38,0.64±0.44,0.92±0.18,0.08±0.27,0.61±0.17,0.64±0.17
radab,epitope_group,H1,0.61±0.21,0.29±0.33,0.00±0.00,0.95±0.53,0.37±0.15,0.50±0.43,0.72±0.48,0.56±0.42,0.83±0.27,0.10±0.35,0.51±0.16,0.57±0.20
refinegnn,epitope_group,H1,0.67±0.17,0.33±0.36,2.56±1.34,0.63±0.36,0.53±0.18,0.54±0.48,0.33±0.32,0.55±0.48,0.92±0.21,0.12±0.32,0.56±0.19,0.62±0.19
abflownet,epitope_group,H2,0.31±0.17,0.18±0.24,0.00±0.00,0.65±0.50,0.54±0.20,0.59±0.42,0.64±0.56,0.66±0.40,0.84±0.27,0.41±0.51,0.60±0.16,0.60±0.20
abmedg,epitope_group,H2,0.33±0.19,0.21±0.27,0.00±0.00,0.71±0.48,0.50±0.19,0.56±0.41,0.69±0.56,0.64±0.39,0.83±0.27,0.43±0.60,0.58±0.16,0.58±0.20
