pdb,Hchain,Lchain,model,antigen_chain,antigen_type,antigen_het_name,antigen_name,short_header,date,compound,organism,heavy_species,light_species,antigen_species,authors,resolution,method,r_free,r_factor,scfv,engineered,heavy_subclass,light_subclass,light_ctype,affinity,delta_g,affinity_method,temperature,pmid,complex_id,has_skempi
7v05,K,k,0,X,protein,,circumsporozoite protein,"ANTIMICROBIAL PROTEIN,IMMUNE SYSTEM/CELL INVASION",11/23/22,Complex of Plasmodium falciparum circumsporozoite protein with 850 Fab,Mus musculus; Plasmodium falciparum,mus musculus,mus musculus,plasmodium falciparum,"Kucharska, I., Prieto, K., Rubinstein, J.L., Julien, J.P.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGKV1,Kappa,,,,,,7v05_K_k_X,False
7u0p,D,I,0,B,protein,,spike glycoprotein,VIRAL PROTEIN,01/08/09,SARS-Cov2 S protein structure in complex with neutralizing monoclonal antibody 002-S21F2,Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Patel, A., Ortlund, E.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV5,IGKV1,Kappa,,,,,,7u0p_D_I_B,False
7qti,I,J,0,D,protein,,"spike glycoprotein,envelope glycoprotein",VIRAL PROTEIN,08/03/22,SARS-CoV-2 S Omicron Spike B.1.1.529 - 3-P2G3 and 1-P5C3 Fabs (Global),Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Ni, D., Lau, K., Turelli, P., Fenwick, C., Perez, L., Pojer, F., Stahlberg, H., Pantaleo, G., Trono, D.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGKV1,Kappa,,,,,,7qti_I_J_D,False
7qti,F,E,0,A,protein,,"spike glycoprotein,envelope glycoprotein",VIRAL PROTEIN,08/03/22,SARS-CoV-2 S Omicron Spike B.1.1.529 - 3-P2G3 and 1-P5C3 Fabs (Global),Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Ni, D., Lau, K., Turelli, P., Fenwick, C., Perez, L., Pojer, F., Stahlberg, H., Pantaleo, G., Trono, D.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV1,IGKV3,Kappa,,,,,,7qti_F_E_A,False
8bcz,A,B,0,R,protein,,spike protein s1,VIRAL PROTEIN,03/22/23,"SARS-CoV-2 Delta-RBD complexed with Fabs BA.2-36, BA.2-23, EY6A and COVOX-45",Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Duyvesteyn, H.M.E., Ren, J., Stuart, D.I.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV4,IGKV1,Kappa,,,,,,8bcz_A_B_R,False
7x1m,C,D,0,M,protein,,spike protein s1,VIRAL PROTEIN/IMMUNE SYSTEM,07/06/22,"The complex structure of Omicron BA.1 RBD with BD604, S309,and S304",Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Huang, M., Xie, Y.F., Qi, J.X.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGKV1,Kappa,,,,,,7x1m_C_D_M,False
8s6m,H,L,0,R,protein,,spike protein s1,VIRAL PROTEIN,10/23/24,SARS-CoV-2 BQ.1.1 RBD bound to the S2V29 and the S2H97 Fab fragments,Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Errico, J.M., Park, Y.J., Rietz, T., Czudnochowski, N., Nix, J.C., Cameroni, E., Corti, D., Snell, G., Marco, A.D., Pinto, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID), Veesler, D.",1.67,X-RAY DIFFRACTION,0.203,0.184,False,True,IGHV3,IGLV2,Lambda,,,,,,8s6m_H_L_R,False
7nx8,A,B,0,E,protein,,spike protein s1,VIRAL PROTEIN/IMMUNE SYSTEM,03/17/21,Crystal structure of the K417T mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-222 and EY6A Fabs,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhou, D., Ren, J., Stuart, D.",1.95,X-RAY DIFFRACTION,0.246,0.223,False,True,IGHV3,IGKV3,Kappa,,,,,,7nx8_A_B_E,False
7n3i,H,L,0,C,protein,,spike protein s1,IMMUNE SYSTEM/VIRAL PROTEIN,06/01/21,Crystal structure of the SARS-CoV-2 receptor binding domain in complex with the human neutralizing antibody Fab fragment C098,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Flyak, A.I., Bjorkman, P.J., Barnes, C.O.",2.03,X-RAY DIFFRACTION,0.208,0.179,False,True,IGHV3,IGKV3,Kappa,,,,,,7n3i_H_L_C,False
8hpf,M,N,0,A,protein,,spike protein s2',IMMUNE SYSTEM/VIRAL PROTEIN,12/20/23,Cryo-EM structure of SARS-CoV-2 Omicron BA.2 RBD in complex with fab L4.65 and L5.34,Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Gao, G.F., Liu, S.",2.34,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGKV1,Kappa,,,,,,8hpf_M_N_A,False
7mzf,H,L,0,A,protein,,spike protein s1,VIRAL PROTEIN,05/24/21,SARS-CoV-2 receptor binding domain bound to Fab PDI 37,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Pymm, P., Chan, L.J., Dietrich, M.H., Tan, L.L., Tham, W.H.",2.493,X-RAY DIFFRACTION,0.227,0.185,False,True,IGHV3,IGKV1,Kappa,,,,,,7mzf_H_L_A,False
